,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,ref_th_d_1,ref_th_d_2,ref_th_1,ref_th_2,th_ts_2_rel,th_d_ts_2_rel
937,9.36,2.088669672747434,-5.945535511025257,147.68808063934026,10.21543460912614,0.6839246890609724,1.6293962550254601,-0.40161065640127636,-1.114505097859318,0.8311479454070194,-0.9858085629682614,0.721206484491426,1.664064841034821,13.396698804831043,11.576900189171305,-1.8169565083752808,0.9454715659644878
938,9.370000000000001,2.405255819584695,-6.0104062779246075,146.8582061319124,10.555691393206763,0.6800692392995759,1.6177450561049858,-0.38834692538138205,-1.1258263489760425,0.8379676459914259,-0.9695720157156775,0.7134499742064526,1.648414515165347,13.403871851515047,11.593462550461307,-1.8075396617071036,0.9376758168054099
939,9.38,2.6600462184979468,-6.077396300460503,145.97139295036362,10.88552609554214,0.6763480146178515,1.6059889543122836,-0.37656387899722116,-1.138862540608019,0.8447494605905024,-0.9534525187981823,0.705975112844463,1.6328050511096674,13.410968743147594,11.60986861568014,-1.7982019793886845,0.9296409396944321
940,9.39,2.8573773150041726,-6.146416889927564,145.031812782086,11.205058840858111,0.6727462179393233,1.5941107726304176,-0.36613139885065493,-1.1534835920006357,0.8514946574541358,-0.9374512070845307,0.6987797205934729,1.6172329986283982,13.417992285338103,11.626118776187282,-1.7889458645386664,0.9213645546910942
941,9.4,3.0016931548038195,-6.217354119978669,144.04373163946832,11.514439716093225,0.669250345578167,1.5820946352804626,-0.3569189236005255,-1.1695567026610239,0.8582043633413446,-0.9215693807080307,0.6918615954290261,1.6016949206767792,13.424945261785377,11.642213388898739,-1.7797737440493755,0.9128442897022956
942,9.41,3.0975187417538574,-6.290069982688484,143.01148392120305,11.813847424473886,0.6658481917822099,1.569925994611573,-0.34879616360893834,-1.186947126298824,0.8648795764767043,-0.9058084919192066,0.6852185146481198,1.5861874017810942,13.431830434063459,11.658152776461023,-1.770688068395911,0.904077802829363
943,9.42,3.1494340741350713,-6.3644037666249815,141.93944712451307,12.103487724872878,0.6625288461894964,1.5575916503106169,-0.34163377948861645,-1.2055189200885652,0.8715211795166654,-0.8901701317080613,0.6788482360285835,1.5707070562473735,13.438650541420952,11.673937227508029,-1.7616913112247268,0.8950628041211205
944,9.43,3.162048956200336,-6.440173628076229,140.83201730663325,12.383591684935213,0.6592826845558113,1.545079761170804,-0.3353040226545855,-1.225135665092483,0.8781299524567046,-0.8746560162715445,0.6727484986327077,1.55525053621982,13.445408300590133,11.68956699699924,-1.752785968728249,0.8857970766149927
945,9.44,3.1399786731007517,-6.51717832698645,139.6935853849915,12.654413776050902,0.656101353129287,1.5323798497006653,-0.3296813363536754,-1.2456611542006246,0.8847065854138942,-0.8592679733991938,0.6669170232735618,1.5398145396044292,13.452106405602404,11.705042306637848,-1.743974558813088,0.8762784965713784
946,9.450000000000001,3.087820608445846,-6.595199099934767,138.5285143566808,12.916229837475075,0.6529777470632749,1.5194827998916423,-0.3246429160021271,-1.2669600444839735,0.8912516912233381,-0.8440079288469656,0.6613515126621711,1.5243958178715977,13.45874752760679,11.720363345367465,-1.7352596200703037,0.8665050528283673
